From,To,Year,Weight
6809,8694,1992,1
6810,6848,1992,2
6810,9733,1992,1
8283,6800,1992,1
6794,9024,1992,1
6794,9060,1992,1
6794,9030,1992,1
6794,6891,1992,1
6794,7068,1992,1
6794,7181,1992,1
6815,6815,1992,1
6816,8992,1992,1
8674,6970,1992,1
6822,7962,1992,1
6822,6822,1992,1
9981,6795,1992,1
7161,7231,1992,1
7677,7279,1992,1
9251,9249,1993,1
7212,6897,1993,1
7264,10971,1993,1
8289,8290,1993,1
7266,7102,1993,1
7279,6848,1993,1
8341,7042,1993,1
8222,8687,1993,1
7361,8343,1993,1
8114,6814,1993,1
8226,8227,1993,1
8503,7436,1993,1
8508,7962,1993,1
9958,10982,1993,1
8631,7677,1993,1
7608,10366,1993,1
9018,7615,1993,1
9257,9258,1993,1
7677,8119,1993,1
10750,8546,1993,1
10796,10797,1993,1
8783,8784,1993,1
8135,8136,1993,1
7273,6783,1993,1
8980,8981,1993,1
6781,8960,1993,1
6781,6816,1993,1
6781,7266,1993,1
6781,8871,1993,1
6781,7016,1993,1
6781,6791,1993,1
6781,6892,1993,1
6781,7822,1993,1
6781,8883,1993,1
6781,8884,1993,1
6781,7128,1993,1
6781,6804,1993,1
6781,7027,1993,1
6782,8948,1993,1
6782,11045,1993,1
6782,8119,1993,1
6782,8952,1993,1
6782,6953,1993,1
6782,7103,1993,1
6782,8607,1993,1
6783,10112,1993,1
6783,8082,1993,1
6783,8436,1993,1
6784,11016,1993,1
6785,8200,1993,1
6785,6800,1993,1
6785,9018,1993,1
6785,7100,1993,2
6785,6953,1993,1
6786,7894,1993,1
6787,7128,1993,1
6787,7142,1993,1
6789,11016,1993,1
6789,10972,1993,1
6789,6796,1993,1
6791,6848,1993,3
6791,7128,1993,1
6791,7962,1993,1
6791,7027,1993,1
6791,6804,1993,1
6793,6993,1993,1
6793,6795,1993,1
6793,8100,1993,1
6793,8078,1993,1
6793,6807,1993,1
6794,7011,1993,1
6794,6924,1993,1
6794,7128,1993,1
6794,8665,1993,1
6794,6794,1993,3
6794,6892,1993,1
6794,8127,1993,1
6795,6962,1993,1
6795,9011,1993,1
6795,7128,1993,1
6795,6985,1993,1
6795,6908,1993,1
6795,7266,1993,1
6797,6949,1993,1
6797,6846,1993,1
6798,7472,1993,1
6798,7985,1993,1
